Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	input	filtered	denoised	merged	non-chimeric
SC284724	PC04924	Run1	NP0084-MB4	SC284724	Seq_Control	MSA	MSA1000								156844	117368	117368	108161	94113
SC284725	PC04924	Run1	NP0084-MB4	SC284725	Seq_Control	MSA	MSA1001								128819	98888	98888	93463	81631
SC284726	PC04924	Run1	NP0084-MB4	SC284726	Seq_Control	MSA	MSA1002								166125	115152	115152	105007	95010
SC284727	PC04924	Run1	NP0084-MB4	SC284727	Seq_Control	MSA	MSA1003								146609	93934	93934	80002	70921
SC284730	PC04925	Run2	NP0084-MB4	SC284730	Seq_Control	MSA	MSA1000								162325	146316	146316	142828	121737
SC284731	PC04925	Run2	NP0084-MB4	SC284731	Seq_Control	MSA	MSA1001								118299	108976	108976	107206	93326
SC284732	PC04925	Run2	NP0084-MB4	SC284732	Seq_Control	MSA	MSA1002								144504	124701	124701	117984	103749
SC284733	PC04925	Run2	NP0084-MB4	SC284733	Seq_Control	MSA	MSA1003								155060	131923	131923	120551	104872
SC326763	PC07578	Run3	NP0084-MB5	SC326763	Seq_Control	MSA	MSA1000								37	13	13	13	13
SC326764	PC07578	Run3	NP0084-MB5	SC326764	Seq_Control	MSA	MSA1001								149904	121949	121949	119930	106842
SC326765	PC07578	Run3	NP0084-MB5	SC326765	Seq_Control	MSA	MSA1002								175315	130730	130730	122692	111720
SC326766	PC07578	Run3	NP0084-MB5	SC326766	Seq_Control	MSA	MSA1003								169905	118849	118849	103561	92277
SC555339	PC22190	Run4	NP0084-MB6	SC555339	Seq_Control	MSA	MSA1001								37615	35264	35264	34685	29682
SC555341	PC22190	Run4	NP0084-MB6	SC555341	Seq_Control	MSA	MSA1000								40148	36966	36966	36040	35640
SC555342	PC22190	Run4	NP0084-MB6	SC555342	Seq_Control	MSA	MSA1002								34286	29984	29984	28191	25198
SC555343	PC22190	Run4	NP0084-MB6	SC555343	Seq_Control	MSA	MSA1003								45313	40348	40348	36508	32241
SC555346	PC22192	Run4	NP0084-MB6	SC555346	Seq_Control	MSA	MSA1002								48935	44344	44344	41582	37436
SC555347	PC22192	Run4	NP0084-MB6	SC555347	Seq_Control	MSA	MSA1000								46724	43598	43598	41530	40859
SC555349	PC22192	Run4	NP0084-MB6	SC555349	Seq_Control	MSA	MSA1001								62086	58180	58180	57353	49511
SC555350	PC22192	Run4	NP0084-MB6	SC555350	Seq_Control	MSA	MSA1003								48859	44266	44266	40252	35255
NTC-PC04925-H-12	PC04925	Run2	NP0084-MB4	NTC-PC04925-H-12	Seq_Control	Seq_Blank	NTC_Blank								17	13	13	13	13
NTC-PC22190-F-12	PC22190	Run4	NP0084-MB6	NTC-PC22190-F-12	Seq_Control	Seq_Blank	NTC_Blank								38	21	21	8	8
Water-PC07578-G-12	PC07578	Run3	NP0084-MB5	Water-PC07578-G-12	Seq_Control	Seq_Blank	PCR_Blank								54	20	20	18	18
Water-PC22190-E-12	PC22190	Run4	NP0084-MB6	Water-PC22190-E-12	Seq_Control	Seq_Blank	PCR_Blank								35	25	25	2	2
SC284728	PC04924	Run1	NP0084-MB4	SC284728	Seq_Control	ZymoBiomics	D6305								136927	99783	99783	92034	80068
SC284729	PC04924	Run1	NP0084-MB4	SC284729	Seq_Control	ZymoBiomics	D6306								135305	93309	93309	85507	73800
SC555344	PC22190	Run4	NP0084-MB6	SC555344	Seq_Control	ZymoBiomics	D6306								41845	38268	38268	36984	29662
SC555345	PC22192	Run4	NP0084-MB6	SC555345	Seq_Control	ZymoBiomics	D6306								46757	42771	42771	41048	31926
SC555348	PC22192	Run4	NP0084-MB6	SC555348	Seq_Control	ZymoBiomics	D6305								55692	51344	51344	49895	40819
SC555351	PC22192	Run4	NP0084-MB6	SC555351	Seq_Control	ZymoBiomics	D6311								39931	37211	37211	37123	36684
SC284734	PC04925	Run2	NP0084-MB4	SC284734	Seq_Control	ZymoBiomics	D6305								121033	109263	109263	104484	88377
SC284735	PC04925	Run2	NP0084-MB4	SC284735	Seq_Control	ZymoBiomics	D6306								130186	114829	114829	108961	91422
SC326767	PC07578	Run3	NP0084-MB5	SC326767	Seq_Control	ZymoBiomics	D6305								152901	117235	117235	113503	102863
SC326768	PC07578	Run3	NP0084-MB5	SC326768	Seq_Control	ZymoBiomics	D6306								157461	116822	116822	112201	94147
SC555338	PC22190	Run4	NP0084-MB6	SC555338	Seq_Control	ZymoBiomics	D6311								21707	20270	20270	20183	19983
SC555340	PC22190	Run4	NP0084-MB6	SC555340	Seq_Control	ZymoBiomics	D6305								35786	32798	32798	31905	26727
SC502454	PC22190	Run4	NP0084-MB6	SC502454	Ext_Control	art_col	DZ35322	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	40658	37051	37051	35512	35233
SC552982	PC22192	Run4	NP0084-MB6	SC552982	Ext_Control	art_col	DZ35316	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	46549	41895	41895	35726	29534
SC552997	PC22190	Run4	NP0084-MB6	SC552997	Ext_Control	art_col	DZ35316	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	42879	39423	39423	32836	29841
